	0	0.85	0.15
2e86de11-a2dd-4b28-b5fe-f4d0c38cd20b	81	0.88	0.12
bfd9ff52-9bf6-4aaf-a859-d308d8f29616	81	0.86	0.14
17397256-c28c-4cad-85f2-a21768c66e67	81	0.89	0.11
e111a46d-5ada-4311-ac4f-175cca3357da	81	0.81	0.19
da0bbbe6-d13c-40cc-9594-8c476975d93d	83	0.83	0.17
25376b55-bb6f-48a7-9381-7b8210842fad	83	0.75	0.25
9be56060-3b01-47aa-a090-d072ef109fbf	84	0.85	0.15
718dea1a-d9a8-4c2b-933a-f0667b5250e6	85	0.86	0.14
33fbfe23-37bd-4e37-a481-a87eadb8192d	85	0.87	0.13
2b157c5c-9a6a-45a6-858f-bf4cf4cbc0bd	85	0.84	0.16
f56657d3-3bdc-4840-a20c-91aca9cc360e	85	0.91	0.09
14d88771-7a96-48aa-ba59-07bae1733e96	86	0.80	0.20
3a96d76a-c508-45a0-94a0-8f64cd6beeb4	87	0.80	0.20
81a0889a-4606-4f49-b419-866b57331383	88	0.91	0.09
c0732e36-3731-4f1a-abdc-daa9563b6506	88	0.88	0.13
d23a1f7e-0071-444e-8361-6ae01f13036f	89	0.85	0.15
d8ee256f-e3d0-46cb-8c77-b1f88d8c9df9	89	0.85	0.15
90c2cec7-0ed5-426a-9de8-754f34d59b39	89	0.80	0.20
4ca52626-58cd-449d-88bb-f6d631588640	89	0.88	0.12
f967d064-0eaf-4445-b225-daed700e044b	89	0.74	0.26
15ae64cd-f698-4b00-9d61-c9fffd037ae2	90	0.83	0.17
c0177f76-67fc-4316-b650-894159dede45	90	0.71	0.29
d47dd08e-833c-4302-a965-a391d345455c	90	0.84	0.16
5a26fc61-d75d-4c01-9ce2-1880ffb5550f	90	0.90	0.10
0f61d948-4f0c-4550-8410-ae1c7f9f5613	91	0.81	0.19
80dff591-2393-448a-8d88-122bd424fa4c	92	0.84	0.16
13a05157-6172-4431-947b-a058217b4aa5	92	0.92	0.08
27c68d7f-5e40-4afa-8b6f-9df47b79e7dd	92	0.65	0.35
0c83e3b6-360e-4b7d-85e3-d906633c9ca0	92	0.83	0.17
25f3a67c-4ed5-45b6-94b1-ce468d3ead21	93	0.82	0.18
c83f0fe0-44d1-4342-81e8-944bb38f8e23	93	0.85	0.15
248ccf3d-d5f6-4b69-83d9-40230ca909cd	93	0.85	0.15
11de4da3-8208-43ff-a1ff-0b3480a0fbf1	93	0.77	0.23
b39b5aae-8571-4c90-887a-6a00f2a2f6fd	95	0.88	0.12
51c5473a-7545-4a9a-920d-d9b718d0e8d1	96	0.85	0.15
18798b8f-6391-4cb2-8a5f-6fb540d646d5	96	0.76	0.24
a5adc84c-80b8-49e4-9962-8b4ade99a922	96	0.81	0.19
2f3d7bc7-6ffb-40c3-a94f-5e626be413c9	97	0.80	0.20
198fd9c8-cb75-482d-873e-e6b91d42a446	98	0.87	0.13
05bd08d5-7d9f-450b-abfa-1788b8ee8b91	99	0.86	0.14
defbc540-a36d-460b-afd8-07da2375ee63	101	0.85	0.15
4b3e8e9b-6de1-4840-8751-b1fb45dc5605	102	0.84	0.16
ad8d15f4-e041-4a12-a10e-901e6285fdc5	105	0.84	0.16
ac69dba3-6225-4afd-ab4b-23fc78f730fb	109	0.86	0.14
cbd19e6f-3d08-4734-b23f-585330028665	111	0.77	0.23
44c92d97-bb39-469d-a13b-f2dd9ae644d1	112	0.78	0.22
58c9e294-bd49-457c-883f-fb3162fc668e	114	0.76	0.24
